movieNm,movieCd,image,link,userRating
"어쩌다, 결혼",20195791,https://ssl.pstatic.net/imgmovie/mdi/mit110/1676/167629_P17_105046.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=167629,4.50
더 페이버릿: 여왕의 여자,20180937,https://ssl.pstatic.net/imgmovie/mdi/mit110/1489/148909_P29_164758.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=148909,8.77
캡틴 마블,20181877,https://ssl.pstatic.net/imgmovie/mdi/mit110/1326/132623_P22_133853.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=132623,6.74
리노,20177282,https://ssl.pstatic.net/imgmovie/mdi/mit110/1709/170953_P08_140411.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=170953,8.10
이스케이프 룸,20197283,https://ssl.pstatic.net/imgmovie/mdi/mit110/1804/180425_P19_175210.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180425,7.63
돈,20176103,https://ssl.pstatic.net/imgmovie/mdi/mit110/1852/185267_P03_110346.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=185267,7.42
라스트 미션,20197356,https://ssl.pstatic.net/imgmovie/mdi/mit110/1799/179974_P01_153621.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=179974,8.82
숲속왕국의 꿀벌 여왕,20196723,https://ssl.pstatic.net/imgmovie/mdi/mit110/1822/182206_P12_121114.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182206,8.63
악질경찰,20197846,https://ssl.pstatic.net/imgmovie/mdi/mit110/1535/153580_P24_103637.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=153580,5.78
우상,20175407,https://ssl.pstatic.net/imgmovie/mdi/mit110/1619/161984_P61_144815.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=161984,3.94
페이트 스테이 나이트 헤븐즈필 제2장 로스트 버터플라이,20198603,https://ssl.pstatic.net/imgmovie/mdi/mit110/1692/169263_P01_094955.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=169263,7.93
정글북: 마법 원정대,20197617,https://ssl.pstatic.net/imgmovie/mdi/mit110/1490/149022_P12_110503.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=149022,6.94
어스,20185352,https://ssl.pstatic.net/imgmovie/mdi/mit110/1814/181414_P24_174349.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=181414,6.82
덤보,20196025,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163787_P33_174808.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163787,8.94
장난스런 키스,20183773,https://ssl.pstatic.net/imgmovie/mdi/mit110/1803/180381_P17_103533.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=180381,8.27
썬키스 패밀리,20166301,https://ssl.pstatic.net/imgmovie/mdi/mit110/1526/152624_P34_161443.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152624,5.93
1919 유관순,20197483,https://ssl.pstatic.net/imgmovie/mdi/mit110/1824/182407_P00_105405.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182407,8.29
콜레트,20198146,https://ssl.pstatic.net/imgmovie/mdi/mit110/1715/171533_P29_143351.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171533,8.67
샤잠!,20196244,https://ssl.pstatic.net/imgmovie/mdi/mit110/1406/140649_P11_111034.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=140649,5.84
생일,20183096,https://ssl.pstatic.net/imgmovie/mdi/mit110/1740/174050_P32_172314.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174050,7.15
로망,20197092,https://ssl.pstatic.net/imgmovie/mdi/mit110/1823/182348_P02_174720.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=182348,9.30
바이스,20198104,https://ssl.pstatic.net/imgmovie/mdi/mit110/1680/168045_P15_100136.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168045,8.47
헬보이,20185406,https://ssl.pstatic.net/imgmovie/mdi/mit110/1642/164200_P05_105455.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=164200,6.88
미성년,20180825,https://ssl.pstatic.net/imgmovie/mdi/mit110/1717/171785_P84_181225.jpg,https://movie.naver.com/movie/bi/mi/basic.nhn?code=171785,8.31
